,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
0,22,Female,Master,71948.0,0.0,Rent,23095,Personal,16.02,0.37,3.0,561.0,No,1
1,24,Male,Master,67048.0,1.0,Rent,23095,Education,12.09,0.08,2.0,497.5,No,0
2,21,Female,High School,12282.0,0.0,Own,1000,Education,11.14,0.08,2.0,504.0,Yes,0
3,25,Female,High School,12438.0,3.0,Mortgage,5500,Medical,12.87,0.37,3.0,635.0,No,1
4,23,Female,Bachelor,79753.0,0.0,Rent,23095,Medical,15.23,0.37,2.0,675.0,No,1
5,24,Male,Master,66135.0,1.0,Rent,23095,Medical,14.27,0.37,4.0,586.0,No,1
6,21,Female,High School,12951.0,0.0,Own,2500,Venture,7.14,0.19,2.0,532.0,No,1
8,26,Female,Bachelor,93471.0,1.0,Rent,23095,Education,12.42,0.37,3.0,701.0,No,1
9,24,Female,High School,95550.0,5.0,Rent,23095,Medical,11.11,0.37,4.0,585.0,No,1
10,24,Female,Associate,100684.0,3.0,Rent,23095,Personal,8.9,0.35,2.0,544.0,No,1
11,21,Female,High School,12739.0,0.0,Own,1600,Venture,14.74,0.13,3.0,640.0,No,1
12,22,Female,High School,102985.0,0.0,Rent,23095,Venture,10.37,0.34,4.0,621.0,No,1
13,21,Female,Associate,13113.0,0.0,Own,4500,Homeimprovement,8.63,0.34,2.0,651.0,No,1
14,23,Male,Bachelor,114860.0,3.0,Rent,23095,Venture,7.9,0.3,2.0,573.0,No,1
15,26,Male,Master,130713.0,0.0,Rent,23095,Education,18.39,0.27,4.0,708.0,No,1
16,23,Female,Associate,138998.0,0.0,Rent,23095,Education,7.9,0.25,4.0,583.0,No,0
17,23,Female,Master,168663.5,5.0,Mortgage,23095,Debtconsolidation,10.65,0.05,3.0,670.0,Yes,0
18,23,Male,Bachelor,144943.0,0.0,Rent,23095,Education,7.9,0.24,4.0,663.0,No,0
19,23,Female,High School,111369.0,0.0,Rent,23095,Medical,19.59,0.31,4.0,694.0,No,1
20,23,Male,Bachelor,136628.0,0.0,Rent,23095,Debtconsolidation,18.25,0.26,4.0,709.0,No,1
21,24,Female,Master,14283.0,1.0,Mortgage,1750,Education,10.99,0.12,2.0,679.0,No,1
22,25,Male,Bachelor,168663.5,0.0,Rent,23095,Venture,7.49,0.18,4.0,684.0,Yes,0
23,25,Male,High School,165792.0,4.0,Rent,23095,Personal,16.77,0.21,2.0,662.0,No,0
24,22,Female,Master,79255.0,0.0,Rent,23095,Education,17.58,0.37,4.0,691.0,No,1
25,24,Female,Bachelor,13866.0,0.0,Own,1500,Personal,7.29,0.11,3.0,600.0,Yes,0
26,22,Male,Bachelor,97420.0,1.0,Rent,23095,Personal,14.54,0.35,4.0,691.0,No,1
28,24,Female,High School,82443.0,0.0,Rent,23095,Homeimprovement,12.68,0.37,3.0,654.0,No,1
29,21,Female,Associate,14288.0,0.0,Mortgage,4575,Venture,17.74,0.32,3.0,626.0,No,1
30,23,Male,High School,14293.0,0.0,Own,1400,Personal,9.32,0.1,3.0,607.0,No,0
31,24,Female,Bachelor,79054.0,1.0,Rent,23095,Homeimprovement,9.99,0.37,3.0,700.0,No,1
32,21,Female,Bachelor,14988.0,0.0,Other,4000,Education,12.84,0.27,2.0,553.0,No,1
33,21,Male,High School,14858.0,0.0,Own,2000,Medical,11.12,0.13,3.0,589.0,No,1
